Construct_Name,Description,Source,Metadata_Value
Response bias,Academic construct from OpenAlex literature.,OpenAlex,3
Mandate,Academic construct from OpenAlex literature.,OpenAlex,3
Performance improvement,Academic construct from OpenAlex literature.,OpenAlex,3
Cognitive reappraisal,Academic construct from OpenAlex literature.,OpenAlex,3
Continuous training,Academic construct from OpenAlex literature.,OpenAlex,3
Constructivist grounded theory,Academic construct from OpenAlex literature.,OpenAlex,3
Reflective practice,Academic construct from OpenAlex literature.,OpenAlex,3
Social connectedness,Academic construct from OpenAlex literature.,OpenAlex,3
Imperfect,Academic construct from OpenAlex literature.,OpenAlex,3
Erasmus+,Academic construct from OpenAlex literature.,OpenAlex,3
Conceptual blending,Academic construct from OpenAlex literature.,OpenAlex,3
Women of color,Academic construct from OpenAlex literature.,OpenAlex,3
Human being,Academic construct from OpenAlex literature.,OpenAlex,3
Virtuous circle and vicious circle,Academic construct from OpenAlex literature.,OpenAlex,3
Basketball,Academic construct from OpenAlex literature.,OpenAlex,3
New business development,Academic construct from OpenAlex literature.,OpenAlex,3
Social facilitation,Academic construct from OpenAlex literature.,OpenAlex,3
Excuse,Academic construct from OpenAlex literature.,OpenAlex,3
Civil society,Academic construct from OpenAlex literature.,OpenAlex,3
Divestment,Academic construct from OpenAlex literature.,OpenAlex,3
Rumination,Academic construct from OpenAlex literature.,OpenAlex,3
Occupational accident,Academic construct from OpenAlex literature.,OpenAlex,3
Work Intensity,Academic construct from OpenAlex literature.,OpenAlex,3
Sportsmanship,Academic construct from OpenAlex literature.,OpenAlex,3
Influencer marketing,Academic construct from OpenAlex literature.,OpenAlex,3
Lifelong learning,Academic construct from OpenAlex literature.,OpenAlex,3
Wright,Academic construct from OpenAlex literature.,OpenAlex,3
Happening,Academic construct from OpenAlex literature.,OpenAlex,3
Occupational rehabilitation,Academic construct from OpenAlex literature.,OpenAlex,3
Investment decisions,Academic construct from OpenAlex literature.,OpenAlex,3
Business continuity,Academic construct from OpenAlex literature.,OpenAlex,3
Capital market,Academic construct from OpenAlex literature.,OpenAlex,3
Suspect,Academic construct from OpenAlex literature.,OpenAlex,3
Blue collar,Academic construct from OpenAlex literature.,OpenAlex,3
Collar,Academic construct from OpenAlex literature.,OpenAlex,3
Capital structure,Academic construct from OpenAlex literature.,OpenAlex,3
Planned change,Academic construct from OpenAlex literature.,OpenAlex,3
Criticality,Academic construct from OpenAlex literature.,OpenAlex,3
Child abuse,Academic construct from OpenAlex literature.,OpenAlex,3
Physical abuse,Academic construct from OpenAlex literature.,OpenAlex,3
Nomothetic,Academic construct from OpenAlex literature.,OpenAlex,3
Layoff,Academic construct from OpenAlex literature.,OpenAlex,3
eHealth,Academic construct from OpenAlex literature.,OpenAlex,3
Verbal abuse,Academic construct from OpenAlex literature.,OpenAlex,3
Assertion,Academic construct from OpenAlex literature.,OpenAlex,3
Intercultural relations,Academic construct from OpenAlex literature.,OpenAlex,3
Social security,Academic construct from OpenAlex literature.,OpenAlex,3
Social desirability,Academic construct from OpenAlex literature.,OpenAlex,3
Crash,Academic construct from OpenAlex literature.,OpenAlex,3
Bankruptcy,Academic construct from OpenAlex literature.,OpenAlex,3
Ethnically diverse,Academic construct from OpenAlex literature.,OpenAlex,3
Digital media,Academic construct from OpenAlex literature.,OpenAlex,3
Professional communication,Academic construct from OpenAlex literature.,OpenAlex,3
Doctoral dissertation,Academic construct from OpenAlex literature.,OpenAlex,3
Paragraph,Academic construct from OpenAlex literature.,OpenAlex,3
Knowledge acquisition,Academic construct from OpenAlex literature.,OpenAlex,3
Stakeholder theory,Academic construct from OpenAlex literature.,OpenAlex,3
Dance,Academic construct from OpenAlex literature.,OpenAlex,3
Goodness of fit,Academic construct from OpenAlex literature.,OpenAlex,3
Collective bargaining,Academic construct from OpenAlex literature.,OpenAlex,3
Cognitive walkthrough,Academic construct from OpenAlex literature.,OpenAlex,3
Guideline,Academic construct from OpenAlex literature.,OpenAlex,3
Manufacturing sector,Academic construct from OpenAlex literature.,OpenAlex,3
Scientific communication,Academic construct from OpenAlex literature.,OpenAlex,3
Syllabus,Academic construct from OpenAlex literature.,OpenAlex,3
Realm,Academic construct from OpenAlex literature.,OpenAlex,3
Bolster,Academic construct from OpenAlex literature.,OpenAlex,3
Relational capital,Academic construct from OpenAlex literature.,OpenAlex,3
Hearing impaired,Academic construct from OpenAlex literature.,OpenAlex,3
Mergers and acquisitions,Academic construct from OpenAlex literature.,OpenAlex,3
Performativity,Academic construct from OpenAlex literature.,OpenAlex,3
Near miss,Academic construct from OpenAlex literature.,OpenAlex,3
Encryption,Academic construct from OpenAlex literature.,OpenAlex,3
Informal learning,Academic construct from OpenAlex literature.,OpenAlex,3
Appraisal theory,Academic construct from OpenAlex literature.,OpenAlex,3
Criminal justice ethics,Academic construct from OpenAlex literature.,OpenAlex,3
Ciphertext,Academic construct from OpenAlex literature.,OpenAlex,3
Debt,Academic construct from OpenAlex literature.,OpenAlex,3
Facial expression,Academic construct from OpenAlex literature.,OpenAlex,3
Subsidiary,Academic construct from OpenAlex literature.,OpenAlex,3
Dissent,Academic construct from OpenAlex literature.,OpenAlex,3
Hearing loss,Academic construct from OpenAlex literature.,OpenAlex,3
Scientometrics,Academic construct from OpenAlex literature.,OpenAlex,3
Labor relations,Academic construct from OpenAlex literature.,OpenAlex,3
User experience design,Academic construct from OpenAlex literature.,OpenAlex,3
Negative emotion,Academic construct from OpenAlex literature.,OpenAlex,3
Objectification,Academic construct from OpenAlex literature.,OpenAlex,3
Immediacy,Academic construct from OpenAlex literature.,OpenAlex,3
GRASP,Academic construct from OpenAlex literature.,OpenAlex,3
Financial market,Academic construct from OpenAlex literature.,OpenAlex,3
Certainty,Academic construct from OpenAlex literature.,OpenAlex,3
Collective action,Academic construct from OpenAlex literature.,OpenAlex,3
Personality disorders,Academic construct from OpenAlex literature.,OpenAlex,3
Scrutiny,Academic construct from OpenAlex literature.,OpenAlex,3
Gossip,Academic construct from OpenAlex literature.,OpenAlex,3
Call centre,Academic construct from OpenAlex literature.,OpenAlex,3
Coursework,Academic construct from OpenAlex literature.,OpenAlex,3
Randomized controlled trial,Academic construct from OpenAlex literature.,OpenAlex,3
Socialism,Academic construct from OpenAlex literature.,OpenAlex,3
Interpreter,Academic construct from OpenAlex literature.,OpenAlex,3
Emergency management,Academic construct from OpenAlex literature.,OpenAlex,3
Positive deviance,Academic construct from OpenAlex literature.,OpenAlex,3
Emergency response,Academic construct from OpenAlex literature.,OpenAlex,3
Social constructivism,Academic construct from OpenAlex literature.,OpenAlex,3
Critical security studies,Academic construct from OpenAlex literature.,OpenAlex,3
Chief executive officer,Academic construct from OpenAlex literature.,OpenAlex,3
Ontological security,Academic construct from OpenAlex literature.,OpenAlex,3
Project management triangle,Academic construct from OpenAlex literature.,OpenAlex,3
Axial coding,Academic construct from OpenAlex literature.,OpenAlex,3
Colonialism,Academic construct from OpenAlex literature.,OpenAlex,3
Sensation seeking,Academic construct from OpenAlex literature.,OpenAlex,3
Spanish Civil War,Academic construct from OpenAlex literature.,OpenAlex,3
Crowdsourcing,Academic construct from OpenAlex literature.,OpenAlex,3
Payment,Academic construct from OpenAlex literature.,OpenAlex,3
Intercultural competence,Academic construct from OpenAlex literature.,OpenAlex,3
Demotion,Academic construct from OpenAlex literature.,OpenAlex,3
Social isolation,Academic construct from OpenAlex literature.,OpenAlex,3
Self reliance,Academic construct from OpenAlex literature.,OpenAlex,3
Psychoanalytic theory,Academic construct from OpenAlex literature.,OpenAlex,3
Participatory ergonomics,Academic construct from OpenAlex literature.,OpenAlex,3
Semantic differential,Academic construct from OpenAlex literature.,OpenAlex,3
Industrial Revolution,Academic construct from OpenAlex literature.,OpenAlex,3
Dynamism,Academic construct from OpenAlex literature.,OpenAlex,3
Observational study,Academic construct from OpenAlex literature.,OpenAlex,3
Expert opinion,Academic construct from OpenAlex literature.,OpenAlex,3
Sex trafficking,Academic construct from OpenAlex literature.,OpenAlex,3
Organizational capital,Academic construct from OpenAlex literature.,OpenAlex,3
Succession planning,Academic construct from OpenAlex literature.,OpenAlex,3
Performance indicator,Academic construct from OpenAlex literature.,OpenAlex,2
Counterfactual thinking,Academic construct from OpenAlex literature.,OpenAlex,2
Homogeneous,Academic construct from OpenAlex literature.,OpenAlex,2
Evolutionary theory,Academic construct from OpenAlex literature.,OpenAlex,2
Uniqueness,Academic construct from OpenAlex literature.,OpenAlex,2
Wonder,Academic construct from OpenAlex literature.,OpenAlex,2
Pejorative,Academic construct from OpenAlex literature.,OpenAlex,2
Learning disability,Academic construct from OpenAlex literature.,OpenAlex,2
Decision tree,Academic construct from OpenAlex literature.,OpenAlex,2
Chose,Academic construct from OpenAlex literature.,OpenAlex,2
Workaround,Academic construct from OpenAlex literature.,OpenAlex,2
Hermeneutics,Academic construct from OpenAlex literature.,OpenAlex,2
Publication bias,Academic construct from OpenAlex literature.,OpenAlex,2
Merit pay,Academic construct from OpenAlex literature.,OpenAlex,2
Strategic business unit,Academic construct from OpenAlex literature.,OpenAlex,2
Resocialization,Academic construct from OpenAlex literature.,OpenAlex,2
Schism,Academic construct from OpenAlex literature.,OpenAlex,2
Honor,Academic construct from OpenAlex literature.,OpenAlex,2
Adaptive learning,Academic construct from OpenAlex literature.,OpenAlex,2
Access control,Academic construct from OpenAlex literature.,OpenAlex,2
Community service,Academic construct from OpenAlex literature.,OpenAlex,2
Classical test theory,Academic construct from OpenAlex literature.,OpenAlex,2
Digitization,Academic construct from OpenAlex literature.,OpenAlex,2
Intrusiveness,Academic construct from OpenAlex literature.,OpenAlex,2
College football,Academic construct from OpenAlex literature.,OpenAlex,2
Bayesian probability,Academic construct from OpenAlex literature.,OpenAlex,2
Reality therapy,Academic construct from OpenAlex literature.,OpenAlex,2
Negative correlation,Academic construct from OpenAlex literature.,OpenAlex,2
Romance,Academic construct from OpenAlex literature.,OpenAlex,2
Complexity theory and organizations,Academic construct from OpenAlex literature.,OpenAlex,2
Risk factor,Academic construct from OpenAlex literature.,OpenAlex,2
Slovak,Academic construct from OpenAlex literature.,OpenAlex,2
Self-management,Academic construct from OpenAlex literature.,OpenAlex,2
Unobservable,Academic construct from OpenAlex literature.,OpenAlex,2
Financial risk,Academic construct from OpenAlex literature.,OpenAlex,2
Livelihood,Academic construct from OpenAlex literature.,OpenAlex,2
Deontic logic,Academic construct from OpenAlex literature.,OpenAlex,2
Videoconferencing,Academic construct from OpenAlex literature.,OpenAlex,2
Impulsivity,Academic construct from OpenAlex literature.,OpenAlex,2
Crowding,Academic construct from OpenAlex literature.,OpenAlex,2
Tetrad,Academic construct from OpenAlex literature.,OpenAlex,2
Evaluation methods,Academic construct from OpenAlex literature.,OpenAlex,2
Arabic,Academic construct from OpenAlex literature.,OpenAlex,2
Causal chain,Academic construct from OpenAlex literature.,OpenAlex,2
Table of contents,Academic construct from OpenAlex literature.,OpenAlex,2
Sexual assault,Academic construct from OpenAlex literature.,OpenAlex,2
Organizational unit,Academic construct from OpenAlex literature.,OpenAlex,2
Musculoskeletal pain,Academic construct from OpenAlex literature.,OpenAlex,2
Business failure,Academic construct from OpenAlex literature.,OpenAlex,2
Life skills,Academic construct from OpenAlex literature.,OpenAlex,2
Sensation,Academic construct from OpenAlex literature.,OpenAlex,2
Information technology audit,Academic construct from OpenAlex literature.,OpenAlex,2
Job training,Academic construct from OpenAlex literature.,OpenAlex,2
